do_nothing,covered_at_home,go_shelter, seek_information,prepare_property,fight_fire
68,1,1,0,33,0
61,0,0,0,35,0
53,0,0,0,29,0
58,0,0,0,28,0
45,0,0,0,34,0
43,0,0,0,37,0
48,0,0,0,34,0
52,0,0,0,22,0
49,0,0,0,28,0
48,0,0,0,38,0
36,0,0,0,31,0
57,0,0,0,24,0
44,0,0,0,21,0
63,0,0,0,27,0
46,0,0,0,36,0
58,0,0,0,31,0
56,0,0,0,28,0
39,0,0,0,29,0
41,0,0,0,33,0
48,0,0,0,31,0
30,0,0,0,23,0
46,0,0,0,28,0
61,0,0,0,48,0
43,0,0,0,39,0
56,0,0,0,28,0
70,0,0,0,25,0
56,0,0,0,34,0
70,0,0,0,27,0
61,0,0,0,35,0
61,0,0,0,31,0
